2019-08-31 18:56:21,886 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Detected ResponseBodyAdvice bean in jsonpAdvice
2019-08-31 18:56:22,000 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/]}" onto java.lang.String com.boot.web.MainController.home()
2019-08-31 18:56:22,002 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/service/TrustManagementService/jsAccessEP/GetItemsPlus]}" onto public java.lang.String com.boot.web.TrustManagementController.GetItemsPlus(java.lang.String,java.lang.String)
2019-08-31 18:56:22,011 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/test],methods=[GET]}" onto public java.util.List<com.boot.entity.District> com.boot.web.UserController.test(java.lang.String,java.lang.String)
2019-08-31 18:56:22,011 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/test]}" onto public java.lang.String com.boot.web.UserController.getIndex(org.springframework.ui.Model)
2019-08-31 18:56:22,012 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/addUser],methods=[POST]}" onto public int com.boot.web.UserController.addUser(com.boot.entity.User)
2019-08-31 18:56:22,012 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/deleteUser],methods=[POST]}" onto public int com.boot.web.UserController.deleteUser(com.boot.entity.User)
2019-08-31 18:56:22,013 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/getAllUser],methods=[GET]}" onto public java.util.List<com.boot.entity.User> com.boot.web.UserController.getAllUser()
2019-08-31 18:56:22,014 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/getProvince],methods=[GET]}" onto public java.util.List<com.boot.entity.District> com.boot.web.UserController.getProvince()
2019-08-31 18:56:22,014 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/html1],methods=[GET]}" onto public java.lang.String com.boot.web.UserController.html1()
2019-08-31 18:56:22,014 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/html],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.boot.web.UserController.html()
2019-08-31 18:56:22,017 [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
